index,AU200,AUD,BCO,CAD,CHF,CN50,CNH,CORN,CZK,DE10YB,DE30,DKK,EU50,EUR,FR40,GBP,HK33,HKD,HUF,IN50,INR,JP225,JPY,MXN,NAS100,NATGAS,NL25,NOK,NZD,PLN,SAR,SEK,SG30,SGD,SOYBN,SPX500,SUGAR,THB,TRY,TWIX,UK100,UK10YB,US2000,US30,USB02Y,USB05Y,USB10Y,USB30Y,USD,WHEAT,WTICO,XAG,XAU,XCU,XPD,XPT,ZAR
2019-12-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-12,-0.81,-0.12,3.67,0.17,0.24,-0.81,-0.14,-0.7,0.21,0.21,-1.23,0.2,-1.19,0.2,-0.92,-0.23,-1.16,-0.25,-0.21,-0.94,-0.18,-2.41,0.5,-0.28,-1.26,0.06,-0.76,0.29,0.62,-0.02,-0.27,-0.03,-0.49,-0.08,-0.44,-1.14,4.24,-0.4,-0.37,-0.98,-0.62,-0.16,-1.63,-1.19,-0.28,-0.25,-0.15,0.12,-0.27,-0.95,3.18,1.47,0.63,-0.26,1.78,1.03,0.34
2019-12-16,-0.64,-0.52,5.29,0.5,0.58,-0.13,-0.17,2.54,0.06,-0.24,-1.92,0.06,-1.5,0.05,-1.01,0.07,-1.99,0.05,-0.22,0.16,-0.17,-0.86,0.25,0.12,-1.33,-1.03,-1.19,0.99,0.92,0.17,0.02,-0.28,-0.37,-0.29,-0.74,-0.82,5.75,-0.27,-0.37,-1.04,-0.67,-0.07,-1.86,-0.85,-0.05,-0.12,-0.1,0.04,0.01,1.29,4.51,-0.73,-0.16,-1.11,-0.12,-0.4,0.59
2019-12-17,-1.69,-0.82,5.67,0.24,0.53,-0.44,0.21,3.46,-0.11,-0.12,-2.2,-0.07,-2.17,-0.11,-1.84,-0.12,-2.24,0.45,-0.41,-0.64,0.01,-1.87,1.04,-0.52,-1.21,-2.22,-2.01,0.63,0.59,0.09,0.47,-0.62,-0.56,0.22,-1.05,-1.23,4.73,-0.12,-0.21,-1.38,-1.23,0.09,-1.79,-1.51,0.42,0.45,0.65,1.16,0.46,3.16,4.98,0.5,1.05,-0.43,0.13,0.31,-1.35
2019-12-18,0.09,-0.01,9.2,0.5,0.04,-0.12,0.32,5.35,-0.01,-0.28,-2.63,0.01,-2.26,-0.03,-1.92,0.63,-1.02,0.49,-0.24,0.4,0.2,-0.8,0.61,-1.07,-1.21,-3.56,-1.88,0.87,1.27,1.05,0.49,-0.69,0.73,0.45,0.64,-1.13,5.32,-0.29,0.02,-0.32,0.22,0.8,-2.17,-1.43,0.29,0.08,0.14,0.39,0.49,4.9,10.27,1.31,1.53,0.16,-1.38,0.6,-2.22
2019-12-19,-0.43,-0.28,8.16,0.59,0.36,1.35,0.42,6.41,0.18,-0.51,-1.45,0.24,-1.09,0.16,-0.85,2.64,-0.4,1.53,-0.52,1.17,0.79,1.21,0.71,-0.96,0.18,-4.69,-0.72,0.32,1.28,0.61,1.55,-0.79,1.35,0.6,0.95,-0.15,6.65,0.26,0.19,2.15,2.28,2.31,-0.67,-0.42,1.24,0.78,0.66,0.38,1.55,5.31,9.8,0.43,1.0,-0.06,-1.91,-0.83,-3.22
2019-12-26,-0.69,-0.23,8.92,0.2,0.14,0.87,1.23,4.5,0.13,-0.37,-2.46,0.18,-1.75,0.11,-1.17,2.79,-1.84,1.57,-0.57,-0.06,0.4,0.56,1.0,-0.76,-0.19,-3.05,-1.26,-0.15,1.39,0.31,1.59,-0.78,-0.43,0.77,0.78,-0.29,6.17,0.31,0.33,0.34,1.74,2.42,-1.34,-0.76,1.33,0.9,0.76,0.73,1.62,3.16,10.61,-2.02,0.74,0.11,-4.48,-2.07,-2.7
2020-01-01,-0.78,-0.72,8.37,-0.37,-0.23,1.73,0.81,5.37,-0.16,-0.6,-1.91,-0.05,-1.15,-0.12,-0.43,1.62,-0.23,1.13,-0.25,-0.62,0.11,0.9,0.44,-0.73,0.46,-2.63,-0.78,-0.13,1.33,-0.15,1.19,-0.69,0.74,0.27,0.9,-0.17,7.8,0.11,0.33,1.62,1.6,1.13,-0.06,-0.8,0.92,0.53,0.43,0.44,1.2,2.72,9.6,-2.22,0.1,-0.77,-4.95,-1.73,-2.06
2020-01-02,-0.6,-0.72,9.54,0.08,-0.01,2.26,1.29,6.37,-0.33,-0.92,-0.13,-0.25,0.93,-0.32,1.62,3.09,1.09,1.67,-0.57,-0.07,0.14,1.58,1.1,-0.96,2.9,-3.08,1.22,0.08,1.44,-0.44,1.75,-0.15,1.15,0.81,-0.5,1.59,6.16,0.3,1.89,4.72,4.44,2.37,2.42,0.92,1.41,0.89,0.76,0.72,1.74,2.76,11.71,-3.58,-1.36,0.37,-9.12,-3.48,-1.72
2020-01-06,-0.14,-0.82,10.82,0.57,-0.11,1.73,1.0,8.3,-0.5,-0.99,0.7,-0.44,2.11,-0.51,2.41,3.2,2.7,1.4,-0.41,1.91,0.47,2.31,0.6,-1.27,3.29,-2.29,2.02,0.08,1.18,-0.22,1.44,-0.24,1.74,0.77,2.22,1.91,8.76,0.13,1.89,5.52,5.15,2.6,2.61,1.37,1.1,0.59,0.42,0.18,1.43,2.69,12.66,-3.29,-1.87,1.84,-9.75,-4.39,-2.11
